0,title,,Movement 1
0,text,0,Use dpad to move during battle.
0,text,1,Press dpad_l or dpad_r to advance/retreat
0,text,2,and press dpad_u to jump.
0,text,3,
0,text,4,"In semi-auto, you can jump by pressing {remap_square}"
0,text,5,while holding down dpad_u.
0,text,6,
0,text,7,
0,text,8,
1,title,,Movement 2
1,text,0,left_analog can also be used to move freely around
1,text,1,"the battlefield, an action known as ""{blue}free running{white}."""
1,text,2,
1,text,3,"This is useful for avoiding enemy attacks,"
1,text,4,and also for putting yourself where you
1,text,5,need to be.
1,text,6,
1,text,7,
1,text,8,
2,title,,Movement 3
2,text,0,You can press dpad_du twice quickly towards your
2,text,1,target while blocking to swiftly step in
2,text,2,and close the distance between you.
2,text,3,"Conversely, you can press dpad_du twice quickly"
2,text,4,away from your opponent while guarding
2,text,5,to take a step back and put some distance
2,text,6,between you. 
2,text,7,Careful timing of such actions can help you
2,text,8,slip through your enemies and avoid damage.
3,title,,Regular Attacks
3,text,0,Press {remap_circle} to perform a regular attack.
3,text,1,Press {remap_circle} while pressing dpad_u or dpad_d
3,text,2,to perform a range of other regular attacks.
3,text,3,
3,text,4,When the control mode is set to
3,text,5,"Semi-Auto, the distance between you and"
3,text,6,your enemy will be adjusted automatically.
3,text,7,
3,text,8,
4,title,,Free-Run Attacks
4,text,0,You can also attack while free running
4,text,1,by pressing {remap_circle}.
4,text,2,
4,text,3,"This is known as performing a ""free-run attack."""
4,text,4,
4,text,5,If you hit an enemy with a free-run
4,text,6,"attack, your target will automatically"
4,text,7,switch to that enemy.
4,text,8,
5,title,,Artes
5,text,0,You can press {remap_cross} to perform Physical artes
5,text,1,or Magic artes unique to the character you
5,text,2,are controlling.
5,text,3,These artes can be assigned to {icon:0x0806}dpad_udpad_dudpad_d
5,text,4,"in the ""Artes"" section of the"
5,text,5,"menu, which can be opened by pressing {remap_triangle}."
5,text,6,By pressing the relevant directional
5,text,7,"button along with {remap_cross}, you can quickly"
5,text,8,perform a range of powerful artes.
6,title,,Block/Guard
6,text,0,You can block incoming enemy P. Atk by
6,text,1,pressing {remap_circle}. This will reduce the damage
6,text,2,they inflict.
6,text,3,
6,text,4,"If you hold down dpad_d while blocking, "
6,text,5,you will perform a Magic Guard. This will reduce
6,text,6,incoming magic damage.
6,text,7,
6,text,8,
7,title,,Using Items
7,text,0,You can use items by opening the menu
7,text,1,"with {remap_triangle}, and selecting ""Items."""
7,text,2,"Simply choose which item you wish to use,"
7,text,3,"pick a target, and it will take effect."
7,text,4,
7,text,5,"After using the it, the {blue}Item Gauge{white}"
7,text,6,will appear: You will not be able to use 
7,text,7,another one until the gauge runs down.
7,text,8,
8,title,,Fleeing
8,text,0,"To escape from battle, open the menu by"
8,text,1,"pressing {remap_triangle}, and select ""{blue}Flee{white}."""
8,text,2,
8,text,3,"When you do so, the {blue}Escape Gauge{white}"
8,text,4,will appear.
8,text,5,
8,text,6,"When the gauge runs down, your escape"
8,text,7,attempt will be deemed {blue}successful{white}.
8,text,8,new line
9,title,,Fleeing 2
9,text,0,You can cancel your escape attempt by
9,text,1,opening the menu with {remap_triangle} and selecting
9,text,2,{blue}Stop Fleeing{white}.
9,text,3,
9,text,4,
9,text,5,new line
9,text,6,new line
9,text,7,new line
9,text,8,new line
10,title,,Targeting
10,text,0,Pressing {remap_l2} will switch your {blue}target{white} to the
10,text,1,closest enemy.
10,text,2,Pressing it again will select the next-
10,text,3,"closest enemy, and so on."
10,text,4,Holding {remap_l2} for a short while will trigger
10,text,5,"{blue}Target Status Display Mode{white}, where you"
10,text,6,can use dpad_du to freely select
10,text,7,a target.
10,text,8,
11,title,,Combo 1
11,text,0,Chain up a series of normal
11,text,1,attacks by continuing to input
11,text,2,attacks with {remap_circle}.
11,text,3,
11,text,4,This is known as a Combo.
11,text,5,
11,text,6,Try a number of possible Combos
11,text,7,with a combination of dpad
11,text,8,and {remap_circle}.
12,title,,Combo 2
12,text,0,Follow up a normal attack{remap_circle}with a {blue}Base Arte{white}{remap_cross}
12,text,1,to cancel the lag time of your {blue}normal attack{white}
12,text,2,and chain your Artes.
12,text,3,
12,text,4,You can deal damage more effectively by linking
12,text,5,your {blue}normal attacks{white} and {blue}base artes{white} together.
12,text,6,
12,text,7,Consider the nature of each combo
12,text,8,to find one that works best for you!
13,title,,Combo 3
13,text,0,You can follow a {blue}Base Arte{white} with a
13,text,1,"{blue}Master Arte{white} and an {blue}Arcane Arte{white},"
13,text,2,which are more powerful attacks.
13,text,3,
13,text,4,Normal attack → Base Arte → 
13,text,5,Master Arte → Arcane Arte
13,text,6,This type of combo allows for
13,text,7,stronger attacks and increases
13,text,8,the variety of possible combos.
14,title,,Encounters 1
14,text,0,While moving around in the field or a
14,text,1,"dungeon, battles will occasionally occur."
14,text,2,
14,text,3,
14,text,4,In forests and certain areas of specific
14,text,5,"dungeons, the likelihood of a battle"
14,text,6,occurring is increased.
14,text,7,new line
14,text,8,new line
15,title,,Encounters 2
15,text,0,"Occasionally, you will be surrounded,"
15,text,1,"resulting in an attack from all sides,"
15,text,2,regardless of your formation settings.
15,text,3,
15,text,4,This is known as a {blue}Surprise Encounter{white}.
15,text,5,
15,text,6,new line
15,text,7,new line
15,text,8,new line
16,title,,Missions
16,text,0,"Every so often, a {blue}mission{white} will be"
16,text,1,triggered instead of a regular encounter.
16,text,2,
16,text,3,"If you meet the conditions listed, you"
16,text,4,"can earn an item or gald, or earn more"
16,text,5,AP at the end of the battle than normal.
16,text,6,
16,text,7,
16,text,8,new line
17,title,,Ailments 1
17,text,0,Some attacks and artes can inflict
17,text,1,{blue}physical ailments{white} or cause {blue}status effects{white}.
17,text,2,All such ailments or negative effects will
17,text,3,dissipate at the end of the battle.
17,text,4,
17,text,5,"{blue}Physical ailments{white} include poisoning,"
17,text,6,"paralysis, etc."
