0,DS Opening
1,Vita Opening
2,War of Cielo
3,Meeting Spada
4,Meeting Illia
5,Meeting Ricardo
6,Meeting Kongwei
7,Meeting Ange
8,Meeting Hermana
9,Meeting QQ
10,Ciello Castello's Return
11,Ruca's Awakening
12,Thoughts over Terro
13,Remember the Me in My Dreams!
14,Enemies of Ratio
15,"Durandal, the Cherished Sword"
16,Welcome to the Western Battlefront
17,"Gardle, the Protector of Terro"
18,I'm Vritra!
19,Hermana's Duel
20,Off to Ashihara
21,Welcome to Ashihara
22,Mural of the Overlord
23,Onward to Garam
24,The Mad Lance
25,Chistose's Raid
26,Captured
27,Sinking of Battleship Lavendel
28,Gardle's Death
29,The Bound Souls
30,Lamentations of the Strategist
31,To the Skies
32,Chasing Mattheus through the Skies
33,Sinking Airship Ventus
34,The Decisive Weapon
35,The End of His Madness
36,Roasting Pigwald
37,Returning Back to Terro
38,The Embodiment of Despair
39,Souls of the Damned
40,"Onwards, to the World United"
