0,title,0,Dreams About a Warrior
0,line,0,A boy named Ruca Milda has dreams about a 
0,line,1,warrior whose name is {blue}Asura{white}. Daring and
0,line,2,"resolute, the brave general defeated "
0,line,3,"the enemy general, {blue}Hypnos{white}, while"
0,line,4,launching an attack against
0,line,5,Ciela Castello.
0,line,6,"Having woken up from the usual dream,"
0,line,7,Ruca is called by his mother to the {cyan}living{white}
0,line,8,{cyan}room{white}.
1,title,0,Morning Ceremony
1,line,0,"While having breakfast with his parents,"
1,line,1,"Ruca hears his classmates, {blue}Eddie{white} and"
1,line,2,"{blue}Nino{white}, calling out to him from outside."
1,line,3,
1,line,4,"Today, an important ceremony will be held"
1,line,5,"for Ruca in {cyan}Fluffy Forest{white}, south"
1,line,6,of the city.
1,line,7,
1,line,8,
2,title,0,A Peculiar Young Man
2,line,0,Ruca met two peculiar young men within
2,line,1,the city of Regnum and the Fluffy Forest.
2,line,2,"Whilst in the middle of the ceremony, Ruca"
2,line,3,"saw a waking dream. In that dream, he saw"
2,line,4,Asura talking with a beautiful woman
2,line,5,called {blue}Inanna{white}. After finishing the
2,line,6,"ceremony, Ruca was made to buy hotdogs"
2,line,7,from the {cyan}Hotdog Stall in front of the{white}
2,line,8,{cyan}item shop{white}.
3,title,0,A Meeting with Illia 1
3,line,0,"As Ruca returned to Regnum, he saw a boy"
3,line,1,being taken away under the {blue}Deviant{white}
3,line,2,{blue}Reformation Act{white}.
3,line,3,He also met {blue}Illia{white} who is being chased by
3,line,4,the Church near the hotdog stall.
3,line,5,When Ruca was protecting Illia from the
3,line,6,"Church members, a slumbering power woke"
3,line,7,"up from within him, the {blue}power{white} of a"
3,line,8,{blue}Reincarnator{white}.
4,title,0,A Meeting with Illia 2
4,line,0,"There the {blue}Church’s Great Cielan,{white}"
4,line,1,"{blue}Mattheus{white}, appeared. Apparently, Illia was"
4,line,2,being chased because Mattheus was
4,line,3,after something called the {blue}Genesis{white}.
4,line,4,
4,line,5,But Mattheus walked away once Ruca
4,line,6,declared himself as a Reincarnator in
4,line,7,order to avoid attracting any
4,line,8,further attention.
5,title,0,A Meeting with Illia 3
5,line,0,It turned out Illia was also a Reincarnator
5,line,1,"who was once Asura’s lover, Inanna. In"
5,line,2,order to reach Genesis before Mattheus
5,line,3,"does, Illia and Ruca decide to go off on a"
5,line,4,journey in search of it. To find more info
5,line,5,"about other Reincarnators, they would"
5,line,6,have to cross the bridge to the west
5,line,7,and go further southeast past {cyan}Regnum{white}
5,line,8,{cyan}Pass{white} to the {cyan}Holy City of Naohs{white}.
6,title,0,"The Holy Sword, Durandal"
6,line,0,"While heading for the Holy City of Naohs,"
6,line,1,Ruca and Illia were captured and taken to
6,line,2,the {cyan}Reincarnator Research Laboratory{white}.
6,line,3, 
6,line,4,"There, they meet {blue}Spada{white} and {blue}Chitose{white},"
6,line,5,both of whom are also Reincarnators.
6,line,6,"During their aptitude test, it turned out"
6,line,7,Spada was the incarnation of Asura’s
6,line,8,"sworn friend, the {blue}Holy Sword Durandal{white}."
7,title,0,To the Western Front
7,line,0,An Imperial Higher-up known as {blue}Oswald{white}
7,line,1,"assigns Ruca, Illia, and Spada to serve in"
7,line,2,the Imperial Army on the {cyan}Western Front{white}.
7,line,3,Ruca expressed deep anxiety as he
7,line,4,realizes that he will be sent out to
7,line,5,the battlefield as a soldier.
7,line,6,"Upon arriving at the {cyan}Imperial Camp{white},"
7,line,7,the party received orders to eliminate
7,line,8,Garam soldiers.
8,title,0,To Be a Reincarnator 1
8,line,0,Ruca and the others reunited with
8,line,1,"Chitose, who was working as a combat"
8,line,2,medic at the {cyan}Western Front{white}.
8,line,3,Illia did not get along with her.
8,line,4,"In search of more leads about the Genesis,"
8,line,5,the party tried talking to Reincarnators
8,line,6,"they met on the battlefield, but because"
8,line,7,"of their past lives, they were attacked"
8,line,8,regardless of affiliation.
9,title,0,To Be a Reincarnator 2
9,line,0,Ruca lost control of himself from the
9,line,1,"strain of the battlefield, but thankfully"
9,line,2,Illia managed to calm him down. Chitose
9,line,3,then appeared to announce Garam’s 
9,line,4,retreat and informed Ruca and the 
9,line,5,"others to return back to camp. However,"
9,line,6,it was then that they realized that the
9,line,7,{cyan}Imperial Camp{white} was engulfed in flames.
9,line,8,The party decided to return back to {cyan}camp{white}.
10,title,0,Mercenaries of Garam 1
10,line,0,It turned out that the {cyan}Imperial Camp{white} was
10,line,1,being attacked by a mercenary with a rifle.
10,line,2,"The mercenary, {blue}Ricardo{white}, is actually the"
10,line,3,incarnation of the general that Asura once
10,line,4,defeated: Hypnos.
10,line,5,
10,line,6,"Another peculiar mercenary, {blue}Hasta{white}, then"
10,line,7,appeared when the two parties were
10,line,8,facing each other.
11,title,0,Mercenaries of Garam 2
11,line,0,"Despite being allies with Ricardo, Hasta"
11,line,1,challenged him to a duel with his cryptic
11,line,2,manner of speaking.
11,line,3,"Before the fight, Ricardo encouraged the"
11,line,4,party to flee before it became messy.
11,line,5,
11,line,6,"As they were escaping, they met Chitose"
11,line,7,once more.
11,line,8,
12,title,0,Mercenaries of Garam 3
12,line,0,"Chitose kisses Ruca before leaving, as a"
12,line,1,a lucky charm to reunite them once again.
12,line,2,
12,line,3,Fleeing the {cyan}Western Front{white} in search for
12,line,4,"information about the Genesis, the party"
12,line,5,begins a journey that takes them across 
12,line,6,{cyan}Regnum Pass{white} towards the {cyan}Holy City{white}
12,line,7,{cyan}of Naohs{white}.
12,line,8,
13,title,0,In the Holy City of Naohs
13,line,0,"Upon arriving in {cyan}Naohs{white}, the party looks for"
13,line,1,more information about the Genesis and
13,line,2,"meets Spada’s former butler, {blue}Hartman{white}."
