"Names","","","","","","Legend","","","","",""
"Japanese Term","Shortened form","English Translation","x","Banned","Acceptable/Alternatives","Finished","Ready for copy-pasting","Problem","Review","Big problem","Nothing"
"ルカ・ミルだ","ルカ","Ruca Milda","Timid but proper manner of speaking. Mayhaps getting some of Illia and Spada’s speaking habits throughout the story? He slowly grows confident throughout the story.","Shit","crap","Up next on the to do list","","","","",""
"イリア・アニーミ","イリア","Illia Animi","Feisty, casual manner of speaking. Won’t hesitate to cuss at you. She will not hesitate to shoot at you, very temperamental but has a soft side.

Refers to Ruca as ""dummy"" after a point in the story. May also sarcastically call him ""Little Sweetie Ruca."" Calls Chitose a ""bitch""","Fuck","hell","","","","","",""
"スパーダ・ベルフォルマ","スパーダ","Spada Belforma","Frank, honest person. A bit proper manner of speaking but knows some street slang. He’s a horndog that always gets bonked, he never learns his lessons but is the most honest friend you can have.

Refers to Hartman as Gramps, his dad as ""my old man,"" Ricardo as ""old man Ricardo,"" maybe ""Little Sweetie Ruca"" for Ruca sometimes too?","Asshole","bastard","","","","","",""
"リカルド・ソルダート","リカルド","Ricardo Soldat","Stiff manner of speaking from his mercenary background. A man that puts off an air of strictness, sometimes a nervous wreck.
Common phrase: Good grief, so be it (usually for 仕方あるまい)","Bitch","witch","","","","","",""
"アンジュ・セレーナ","アンジュ","Ange Serena","Formal-casual manner of speaking. She’s like a friendly mom. She’s always prim and proper but there are times when a shrewd side of hers appears.

Refers to Ricardo as Sir Ricardo.
Avoid like use as when possible
Common phrase: Oh dear..., My goodness, quite","ass","damn","","","","","",""
"エルマーナ・ラルモ","エルマーナ","Hermana Larmo","Has a southwestern accent. Very casual. She lives in Regnum taking care of Michelle and Gaetano.","♪","","","","","","",""
"エル","","Hermie","Hermana’s nickname","","","","","","","",""
"コンウェイ・タウ","コンウェイ","Kongwei Tao","Similar manner of speaking to Ruca.
He’d rather spend the day reading books than fighting. He often gets mistaken as a woman.","","","","","","","",""
"キュキュ・セレツネワ","キュキュ","QQ Selezneva","Not familiar with the language. Her manner of speaking should be very rough. QQ is eager to learn about the world of Innocence, always fascinated with the technology. She slowly gets accustomed to the language throughout the game.

Refers to Spada as ""weird hat""
Common phrases: Au(あう), Understood (はい わかた)","","Onomatopoeias","http://www.writtensound.com/","","","","",""
"コーダ","","Coda","Speaks in third person singular, sometimes adds a though in the end of a sentence.
Spawn of satan","","Ha ha ha ha hah!
Ah ha ha ha hah!
Wa hah hah hah","","","","","",""
"","","","","","Argh","","","","","",""
"マティウス","","Mattheus","The main antagonist of the story. looks kinda like a dark souls boss","","Erm
Errrm
Err","","","","","",""
"チトセ・チャルマ","チトセ","Chitose Cxarma","You meet her in the Reincarnator research laboratory. She’s obsessed with Asura","","Urgh","","","","","",""
"シアン・テネブロ","シアン","Sian Tenebro","You meet him in Regnum Limestone Cave, dark skinned boy accompanied by two dogs. Must protect","","Ahem","could be used for coughs/clearing throat","","","","",""
"ケル","","Cer","One dog","","Haah...","for sighs","","","","",""
"ベロ","","Berus","other dog","","Uhhh","","","","","",""
"ガードル","","Gardle","You meet him as you leave Naohs Base. Dark skinned fella with 3 eyes","","*BANG!*","asterisks are used for loud noises","","","","",""
"アルベール・グランディオーザ","アルベール","Albert Grandiosa","Always has a light tone. Perhaps speaks formally.
Tenos noble.","","Hm...","","","","","",""
"オズバルド","","Oswald","You meet him in the Reincarnator Research Laboratory. He is a fat man wearing a red uniform and an eyepatch","","Atchoo","","","","","",""
"ブタバルド","","Pigwald","Beloved nickname for our fam, Oswald","","Aw...","","","","","",""
"ハスタ・エクステルミ","ハスタ","Hasta Ekstremi","Best boy. Pink hair, funny speaking mannerism.","","Agh","","","","","",""
"魔槍の刺客","","Spear-wielding fiend","","","","","","","","",""
"ゴリゴリ","","Grigori","Weird body suit guys with masks","","Heh heh heh","","","","","",""
"","","","","","Tra-la-la-la-la","","","","","",""
"センサス","","Sensus","Army led by Asura. aims for the unification of Devaloka","","Whiiiiiiiiiiiir","for alarms","","","","",""
"ラティオ","","Ratio","Army that opposes Sensus. Aims to maintain devaloka by harvesting faith from those in Naraka","","clunk","","","","","",""
"アスラ","","Asura","Huge guy, white hair, the leader of Sensus. Ruca’s past life","","Knock","","","","","",""
