"#","Japanese","English"
"0","オタオタ","Polwigle"
"1","バサバサ","Rustlet"
"2","教団兵","Church Soldier"
"3","ラビラビ","Honey Bunny"
"4","ウルフ","Wolf"
"5","セブンスター","Giant Beetle"
"6","ラティオ・エクス","Ratio EX"
"7","ゲコゲコ","Ribbit"
"8","ビー","Bee"
"9","ウッズワーム","Woods Worm"
"10","ガラムソルジャー","Garam Soldier"
"11","ガラムハンター","Garam Hunter"
"12","ラティオ・デュナス","Ratio Dunes"
"13","ラティオ・テテス","Ratio Tetes"
"14","ラティオ・スロネ","Ratio Slone"
"15","エッグベア","Egg Bear"
"16","ファンガス","Fangus"
"17","トルチュ","Tortue"
"18","アレニェ","Araignee"
"19","バーズ","Vase Malefique"
"20","プリュム","Saur"
"21","ネガスィオンデローズ","Negucion de Rose"
"22","ガードハウンド","Guard Dog"
"23","ホークアイ","Hawkeye"
"24","レグヌムガード","Regnum Guard"
"25","レグヌムハンター","Regnum Hunter"
"26","レグヌムアサルト","Regnum Breacher"
"27","フェイク","Fake"
"28","ギガンテス","Gigantes"
"29","ガードル","Gardle"
"30","ハスタ","Hasta"
"31","ウパルパ","Roxolotl"
"32","シロゲコ","White Ribbit"
"33","ビッグバット","Big Bat"
"34","マーマン","Gillman"
"35","ゴーレム","Golem"
"36","シアン","Sian"
"37","ケル","Cer"
"38","ベロ","Bero"
"39","アックスビーク","Axe Beak"
"40","ガルムウルフ","Garm Wolf"
"41","ガーゴイル","Gargoyle"
"42","ソルジャー","Soldier"
"43","ウィザード","Wizard"
"44","用心棒","Mercenary"
"45","アシハラウサギ","Ashihara Rabbit"
"46","ボア","Boar"
"47","エメラルドビートル","Emerald Beetle"
"48","グレイブトータス","Grisly Tortoise"
"49","タランチュラ","Tarantula"
"50","メルティングポット","Melting Pot"
"51","マミー","Mummy"
"52","スケルトン","Skeleton"
"53","スピリット","Spirit"
"54","チトセ","Chitose"
"55","キングクラブ","King Crab"
"56","キラービー","Killer Bee"
"57","サンドワーム","Sand Worm"
"58","ツチゲコ","Land Ribbit"
"59","アースバット","Earth Bat"
"60","ブラウンベア","Brown Bear"
"61","アンバーベール","Red Cap"
"62","ライアー","Liar"
"63","ドレイク","Drake"
"64","サラマンダー","Salamander"
"65","ラーヴァゴーレム","Lava Golem"
"66","ファイア・ソウル","Fire Animos"
"67","ハスタ","Hasta"
"68","ショヴスリ","Chauve-Souris"
"69","モンストル","Horreur"
"70","アーム","Animos"
"71","マッキア","Macchia"
"72","マッキア・グラーヴェ","Macchia Grave"
"73","アダマンバット","Adamantine Bat"
"74","アージェントガンナー","Berserker Drone"
"75","教団突撃兵","Church Shock Trooper"
"76","教団術師","Church Wizard"
"77","チトセ","Chitose"
"78","教団近衛兵","Church Bodyguard"
"79","ウオウオ","Splisher"
"80","ハーミットクラブ","Hermit Crab"
"81","カーカー","Cawker"
"82","ゼリーフィッシュ","Jellyfish"
"83","ディープダイバー","Deep Diver"
"84","オイルスライダー","Oil Skater"
"85","アクアレックス","Hydrosaur"
"86","ポルターガイスト","Poltergeist"
"87","フラワーパターン","Bloomshell Beetle"
"88","ヴェノムインセクト","Green Widow"
"89","オレンジグローブ","Boxwood"
"90","トビネズミ","Skipping Rat"
"91","トサゲコ","Rabid Ribbit"
"92","ロックトータス","Rock Tortoise"
"93","コカトリス","Cockatrice"
"94","アースドラコ","Earth Drake"
"95","ナーガ","Naga"
"96","ガルポオオトカゲ","Galpos Varan"
"97","スウィンドラー","Swindler"
"98","シアン","Sian"
"99","ケル","Cer"
"100","ベロ","Bero"
"101","ロバークラブ","Robber Crab"
"102","ドードー","Dodo"
"103","デスホーネット","Death Hornet"
"104","ガードル","Gardle"
"105","ギガンテスＺ","Gigantes Z"
"106","ヘビヘビ","Fattlesnake"
"107","デスレイヴン","Death Raven"
"108","ライノッサス","Rhinoceros"
"109","ネペンテス","Nepenthes"
"110","ヘルハウンド","Hell Hound"
"111","マゴット","Maggot"
"112","ゾンビ","Zombie"
"113","ボーンヘッド","Bonehead"
"114","マッドアンデッド","Mad Undead"
"115","ゾンビリターナー","Zombie Returner"
"116","レグヌムソルジャー","Regnum Soldier"
"117","レグヌムシューター","Regnum Shooter"
"118","テノスソルジャー","Tenos Soldier"
"119","テノスシューター","Tenos Shooter"
"120","ギガンテスＲ","Gigantes R"
"121","ギガンテスＲ２","Gigantes R Mk.II"
"122","ハスタ","Hasta"
"123","スノーラビット","Snow Hare"
"124","ホワイトジャッカル","White Jackal"
"125","グリズリー","Grisley"
"126","アイス・ソウル","Ice Animus"
"127","フロストジャイアント","Frost Giant"
"128","アイスデーモン","Icigoyle"
"129","スケルトンウォリアー","Skeleton Warrior"
"130","テノススティンガー","Tenos Stinger"
"131","ゲートキーパー","Gatekeeper"
"132","テノスナイト","Tenos Knight"
"133","テノススナイパー","Tenos Sniper"
"134","テノスアサルト","Tenos Breacher"
"135","アルベール","Albert"
"136","クリムゾンレイダー","Crimson Raider"
"137","教団上級突撃兵","Church Senior Shock Trooper"
"138","教団上級術師","Church Senior Wizard"
"139","アムルゼス","Amor Zero"
"140","バジリスク","Basilisk"
"141","ドラゴンテール","Dragontail"
"142","ライト・ソウル","Light Animos"
"143","エデンズキーパー","Eden’s Keeper"
"144","エンシェントソウル","Ancient Soul"
"145","ラティオ・セラフ","Ratio Seraph"
"146","アブルホール","Abul Hol"
"147","ヴァルチャー","Vulture"
"148","ハチェットビーグ","Hatchet Beak"
"149","アラクネー","Arachnid"
"150","グラップラワー","Boxer Iris"
"151","テタールデオッド","Tetard D’eau"
"152","マッキア・クインディ","Macchia Quindi"
"153","マッキア・クワットロ","Macchia Quatro"
"154","マッキア・クワランタ","Macchia Quaranta"
"155","マッキア・セーイ","Macchia Seyi"
"156","ベヒーモス","Behemoth"
"157","アーマードボア","Armored Boar"
"158","キラータイガー","Bearlion"
"159","アルパインビートル","Alpine Beetle"
"160","ハイランダー","Highlander"
"161","リビングデッド","Living Dead"
"162","カワンチャ","Kwancha"
"163","セレスティアルナイト","Celestial Knight"
"164","グローリーポット","Glory Pot"
"165","レジェンドワイバーン","Legendary Wyvern"
"166","ゴールドゴーレム","Gold Golem"
"167","キラーゴイル","Grimgoyle"
"168","教団特殊兵","Church Elite Troop"
"169","教団特殊術師","Church Elite Wizard"
"170","レグヌムナイト","Regnum Knight"
"171","レグヌムスナイパー","Regnum Sniper"
"172","シェセプアンク","Shesep’ankh"
"173","カラドリウス","Caldarius"
"174","ハスタ","Hasta"
"175","ギガンテスΩ","Gigantes Ω"
"176","マティウス","Mattheus"
"177","マティウス・ウェヌス","Mattheus Venus"
"178","絶望を背負いし覇王","The Great King of Despair"
"179","ベック","Bec"
"180","アベイユ","Abeille"
"181","シュニール","Chenille"
"182","フルール","Fleur Formidable"
"183","マッキア・マーゴ","Macchia Margo"
"184","オグルデプール","Ogre"
"185","ミメシス","Mimetisme"
"186","プーペ","Poupee"
"187","マッキア・ウーノ","Macchia Uno"
"188","エスクリル","Escrimeur"
"189","ソルシエ","Sorcier"
"190","モルソデイモータリテ","Aberration"
