"Chara","#","Japanese","English"
"0","0","なし","None"
"0","1","なし","None"
"0","2","なし","None"
"0","3","なし","None"
"0","4","なし","None"
"0","5","なし","None"
"0","6","なし","None"
"0","7","なし","None"
"0","8","なし","None"
"0","9","なし","None"
"0","10","コイツ…ホントに大丈夫？","Is this guy right in the head...?"
"0","11","ホント、頼りないヤツ","You’re completely unreliable."
"0","12","もっとしっかりすれば……","If only you were more dependable."
"0","13","最近やるじゃない","You’ve been working harder lately!"
"0","14","イジりがいがあるわよね","You’re super fun to tease."
"0","15","なぁんか、良い感じよね","Y’know, you’re pretty nice."
"0","16","頼りにしてるわよ！","I’m counting on you!"
"0","17","一緒にいると楽しいわ","It’s always fun when I’m with you."
"0","18","出会えてよかったと思うわ","I’m glad that we met."
"0","19","ま、これからもヨロシクね","Keep up the good work."
"0","20","ウジウジした野郎だぜ","What a gloomy guy."
"0","21","もっとハッキリ言いやがれ","You’ve gotta speak up, man."
"0","22","甘いけどイイヤツじゃん","A bit naive, but your heart is good."
"0","23","ちょっとはやるじゃねぇか","You’re working it out, little by little!"
"0","24","オレも負けてられねぇぜ！","I ain’t gonna lose to you too!"
"0","25","イジりがいのあるヤツだぜ","You’re a real tease, man."
"0","26","サイコーの親友だぜ！","You’re the best bro I’ve ever had."
"0","27","前世の縁に感謝だな","I’m grateful for our past live’s fate."
"0","28","こいつとなら、戦えるぜ","I can trust you to fight by my side."
"0","29","オレが全力で守る！","I’ll protect you with all my might!"
"0","30","前世の縁って、不思議ね","Fate sure is strange..."
"0","31","もっと心を開いて欲しいな","If only you could open up more."
"0","32","いろんな話をしてみたいわ","Let us talk about many things!"
"0","33","自分を好きになってあげて","You must learn to love yourself."
"0","34","弟ってこんな感じかな？","Is this what a little brother is like?"
"0","35","頑張ってるみたいね","It seems you are working hard."
"0","36","頼もしくなってきたわね","You have become very dependable."
"0","37","あなたがいるだけで安心よ","I feel far more safe with you nearby."
"0","38","良い仲間に出会えたわ","I am glad I met such a great ally."
"0","39","わたしの背中、お願いね","I entrust you with watching my back."
"0","40","子守は勘弁だ","I’m not here to babysit."
"0","41","護衛の邪魔だ","You’re in my way."
"0","42","気の弱いガキだ","What a timid brat."
"0","43","見直した","I’m reassessing you..."
"0","44","意外とやるものだな","You’re surprisingly capable."
"0","45","仲間というのも悪くないな","Not a bad ally."
"0","46","将来が楽しみだな","You have a promising future."
"0","47","頼もしくなってきたな","You’re becoming far more reliable."
"0","48","安心して背中を任せられる","I can trust you to have my back."
"0","49","言葉にせずとも良いだろう","You don’t need to say it, I know."
"0","50","ちょっと頼りないなぁ","This fella’s a bit unreliable."
"0","51","ウチがいないとあかんなぁ","What would ya do without me?"
"0","52","手間のかかる子や","What a high-maintenance kid."
"0","53","最近、エエ感じとちゃう？","Ye been doin’ quite good lately"
"0","54","たくましくなったなぁ","Ya sure have gotten purty bold."
"0","55","ウチも頑張らないとあかん","Ah hafta do mah best too!"
"0","56","安心して背中任せられるわ","Ah’m glad ya got mah back!"
