"#","Japanese","English"
"0","フルフィの森","Fluffy Forest"
"1","レグヌム峠","Regnum Pass"
"2","転生者研究所","Reincarnator Research Laboratory"
"3","西の戦場","Western Front"
"4","憂いの森","Forest of Sorrow"
"5","ナーオス基地","Naohs Base"
"6","レグヌム鍾乳洞","Regnum Limestone Cave"
"7","商店主の屋敷","Shopkeeper's Mansion"
"8","アシハラ王墓","Ashihara Royal Tomb"
"9","カリュプス鉱山","Calypso Mine"
"10","ケルム火山","Kelm Volcano"
"11","異界の狭間ニーゲル","Otherwordly Ravine: Nirgal"
"12","戦艦ラヴェンデル","Battleship Lavendel"
"13","ガルポス果樹園","Galpos Orchard"
"14","ガルポスジャングル","Galpos Jungle"
"15","レムレース湿原","Lemures Marsh"
"16","北の戦場","Northern Front"
"17","神待ちの園","Celestial Garden"
"18","テノス兵器工場","Tenos Arms-Factory"
"19","飛行船ウェントス","Airship Ventus"
"20","天空城","Ciela Castello"
"21","魂の巡礼路カルディア","The Soul's Pilgrimage: Chaldea"
"22","黎明の塔","Tower of Dawn"
"23","トライバースゲート","Triverse Gate"
"24","トライバースゲート","Triverse Gate"
