"#","Japanese","English"
"0","王都レグヌム","Imperial Capital of Regnum"
"1","峠のキャンプ","Camp Peak"
"2","聖都ナーオス","The Holy City: Naohs"
"3","東の国アシハラ","Eastern Country of Ashihara"
"4","ガラム港","Garam Harbor"
"5","西の国ガラム","Western Country of Garam"
"6","南の国ガルポス","Southern Country of Galpos"
"7","グリゴリの里","Grigori's Hometown"
"8","商業都市マムート","Commercial City: Marmut"
"9","補給拠点トート","Stopover Point: Toto"
"10","北の国テノス","Northern Country: Tenos"
"11","サニア村","Sania Village"
"12","ミュース族の里","The Muse Clan's Hometown"
"13","転遷闘技場アキレア","Wandering Arena: Achillea"
"14","列車内部","Train Interior"
"15","密会場所","Clandestine Meeting"
"16","ケルベロスの住処","Cerberus' Den"
"17","天上界の戦場","Cielo's Battlefield"
"18","ヒンメル幽閉場所","Himmel's Cell"
"19","元老院","Senate"
"20","レグヌム峠","Regnum Pass"
"21","飛行船内部","Airship Interior"
"22","バルカンの鍛冶場","Vulcan's Forge"
"23","エルマーナの家","Hermana's House"
"24","アシハラ草原","Ashihara Prairie"
"25","サニア砂漠","Sania Desert"
"26","船の甲板","Ship's Deck"
"27","倉庫","Warehouse"
"28","夜会会場","Evening Party"
"29","定期船の甲板","Liner Deck"
