"Path","Section","#","Name","Japanese","English","LineBreak"
"Dn/00/03.dat","1","14","","剣から不思議な力を感じるが
無理に引き抜こうとしても　びくともしない
…今はそっとしておこう","You can feel a strange power emanating from the 
sword. Despite pulling with all your might, it won’t 
come off. You should leave it alone...","FALSE"
"Dn/00/03.dat","1","20","","剣が刺さっている","There’s a sword here.","TRUE"
"Dn/00/03.dat","4","1","","ここから入口まで一気に戻ることができます
入口まで戻りますか？","You can return to the entrance from here.
Do you want to head back to the entrance?","TRUE"
"Dn/00/03.dat","4","5/0","","はい","Yes","TRUE"
"Dn/00/03.dat","4","5/1","","いいえ","No","TRUE"
"Dn/00/03.dat","5","56","","記憶陣に乗ることで
フィールド以外でもセーブをすることができます","By stepping on this Save Point,
you are able to save outside of the overworld.","TRUE"
"Dn/00/03.dat","5","59","","メニュー画面から{blue}システム{white}{fixed}→{blue}{variable}セーブ{white}を選択するか
{icon:0x0006}で直接セーブ画面に遷移し
{blue}タッチ操作{white}でセーブすることが可能です","Select {blue}System{white}{fixed}→{blue}{variable}Save{white} from the menu screen or press 
{icon:0x0006} to access the save screen.
You can also use {blue}Touch Commands{white}.","FALSE"
"Dn/00/03.dat","5","62","","青色の記憶陣はセーブのみですが
緑色の記憶陣は乗るとＨＰ・ＴＰを
回復してくれるので有効に活用しましょう","Blue Save Points can only save your game, but
Green Save Points also restore your HP and TP,
so make good use of them.","FALSE"
"Dn/00/04.dat","0","53","Ruca","ふぅ～　一番奥までは　あと少しだな
ん？　あれは…","The innermost tree should just 
be right there... Hm? Who...?","TRUE"
"Dn/00/04.dat","0","75","Ruca","あのぅ
大丈夫…　ですか？","Um... Are you alright...?","TRUE"
"Dn/00/04.dat","0","88","???","うっひょ～～～　獲物発見！
ユー・アー・マイ・ブレックファースト！
食前酒の前の　軽いおつまみでありんす！","Prey found!
YOU ARE MY BREAK FAST!
An appetizer before the main course!","TRUE"
"Dn/00/04.dat","0","102","???","まさしく　あんさんのお命を
食らうのは　わっちにとっては朝飯前！
それは　太陽がまぶしかったからサ！","Oh how the sun is shining oh so brightly!
The birds chirping so sweetly～
I’ll be having you before breakfast, sweetie!","TRUE"
"Dn/00/04.dat","0","107","Ruca","え？　え？　え？","Uhmm... Huh????","TRUE"
"Dn/00/04.dat","0","113","???","さっきから　キイキイ叫ぶ　子どもの声に
ちょっと　イラつき気味でね
この怒りをどう鎮めようか　悩んでたところサ","I’ve been hearing children yelling for a while now;
it was starting to get on my nerves.
Oh, dear, how should I vent this pent up anger...?","TRUE"
