"#","Japanese","English"
"0","補給兵「サプライ」","Quartermaster [Army Supplies]"
"1","万屋「合縁奇縁」","Merchant [Fated Union]"
"2","万屋「悪戦苦闘」","Merchant [Tough Struggle]"
"3","万屋「路地裏迷子」","Merchant [Back Alley]"
"4","万屋「一期一会」","Merchant [Once in a Lifetime]"
"5","万屋「裏取引」","Merchant [Backroom Deal]"
"6","道具屋「商売日和」","Item Shop [Business Ideal]"
"7","万屋「商売魂」","Merchant [Spirit of Commerce]"
"8","グレードショップ","Grade Shop"
"9","道具屋「温故知新」","Item Shop [New Past]"
"10","武具屋「雲外蒼天」","Equipment Shop [Azure Sky]"
"11","道具屋「旅は道連れ」","Item Shop [Journey’s Companions]"
"12","武具屋「世は情け」","Equipment Shop [Peaceful Era]"
"13","道具屋「盛者必衰」","Item Shop [Inevitable Decay]"
"14","武具屋「破邪顕正」","Equipment Shop [Crushing Truth]"
"15","道具屋「桜花爛漫」","Item Shop [Cherry Blossom Riot]"
"16","武具屋「花鳥風月」","Equipment Shop [Natural Beauty]"
"17","道具屋「大漁旗」","Item Shop [Big Haul]"
"18","武具屋「金波銀波」","Equipment Shop [Sparkling Wave]"
"19","道具屋「気炎万丈」","Item Shop [High Spirits]"
"20","武具屋「活火激発」","Equipment Shop [Volcanic Eruption]"
"21","道具屋「龍の恵み」","Item Shop [Dragon’s Grace]"
"22","武具屋「逆鱗」","Equipment Shop [Imperial Wrath]"
"23","万屋「闇市場」","Merchant [Black Market]"
"24","道具屋「商売繁盛」","Item Shop [Prosperity]"
"25","武具屋「千客万来」","Equipment Shop [Roaring Market]"
"26","道具屋「商売根性」","Item Shop [Commercial Spirit]"
"27","武具屋「前線基地」","Equipment Shop [Outpost]"
"28","道具屋「氷の大地」","Item Shop [Terro’s Spring]"
"29","武具屋「雪の結晶」","Equipment Shop [Snowflakes]"
"30","道具屋「オアシス」","Item Shop [Oasis]"
"31","武具屋「サボテン」","Equipment Shop [Cactus]"
"32","転移商店「ウィング」","Traveling Merchant [Wing]"
"33","転移商店「ウィング」","Traveling Merchant [Wing]"
"34","転移商店「ウィング」","Traveling Merchant [Wing]"
"35","転移商店「ウィング」","Traveling Merchant [Wing]"
