"File","Field","Index","Speakers","Japanese","Speakers (E)","English","LineBreak"
"0000.dat","title","658","","なし","","None","TRUE"
"0000.dat","speaker","0","","ルカ","","Ruca","TRUE"
"0000.dat","speaker","1","","？？？","","???","TRUE"
"0000.dat","line","3","0 [ルカ]","あ！","0 [Ruca]","Oh!","TRUE"
"0000.dat","line","14","0 [ルカ]","ご…　ごめんなさい！
僕　急いでて…　だから…","0 [Ruca]","S-sorry! I wasn’t looking where... So...","TRUE"
"0000.dat","line","18","1 [？？？]","こっちこそ　ごめん
大丈夫かい？","1 [??????]","No, I should be the one apologizing, myself. 
Are you okay?","TRUE"
"0000.dat","line","22","0 [ルカ]","あ…　本！
ごめんなさい！
高価そうな本なのに…","0 [Ruca]","Oh no, your book! I’m so sorry!
It looks so expensive too...","TRUE"
"0000.dat","line","26","1 [？？？]","構わないよ
それより　ほら立って","1 [??????]","Do not fret about it!
First of all, stand up.","TRUE"
"0000.dat","line","32","0 [ルカ]","そんなに高価そうな本
キズでもついてたら　僕…
そうだ！　僕はルカ　ルカ・ミルダ","0 [Ruca]","I’m sorry... if that expensive book got scratched I...
Oh, right, sorry... I’m Ruca, Ruca Milda.","TRUE"
"0000.dat","line","37","0 [ルカ]","もしなにかあれば　僕の家を
訪ねてきてください
街の人に聞けば　きっとわかるから","0 [Ruca]","If you need something, just go to my house.
You can ask anyone in town where it is.","TRUE"
"0000.dat","line","42","1 [？？？]","ルカ…　ミルダ？
ここは　王都レグヌム
そう　じゃあ　キミなのかな…","1 [??????]","Ruca... Milda? And this is the Royal 
Capital of Regnum... Perhaps it is you...?","TRUE"
"0000.dat","line","47","0 [ルカ]","え…？","0 [Ruca]","Eh...?","TRUE"
"0000.dat","line","52","1 [？？？]","ボクは　魂の救済者
ふたつの魂を　救うために
この世界へ　やってきた","1 [??????]","I am the Saviour of Souls. I have come to 
this world to free two souls in need of salvation.","TRUE"
"0000.dat","line","55","1 [？？？]","もしかすると
キミは　世界の真実を
知らなければならない人なのかもしれない","1 [??????]","Perhaps, you are the one who needs to be
enlightened about this world’s true nature.","TRUE"
"0000.dat","line","58","1 [？？？]","たとえ　それが　その身を
引き裂かれるほどの
真実であったとしてもね","1 [??????]","Even if the knowledge might end up 
tearing your beliefs apart.","TRUE"
"0000.dat","line","62","1 [？？？]","楽しみにしているよ
真実を知ってなお　ボクの手を借りることなく
キミの魂が　救済されることを…　じゃあ","1 [??????]","I am looking forward to meeting you again. In due time, 
your beliefs will be challenged and you will seek my 
help. Then, I shall grant your soul salvation... Farewell.","FALSE"
"0000.dat","line","66","0 [ルカ]","魂の…　救済？　世界の真実？
それって　どういう…
あッ　ちょっと待って！","0 [Ruca]","My soul’s salvation...?
The world’s true nature?
What exactly... Hey, wait!","TRUE"
"0000.dat","line","74","0 [ルカ]","…ヘンな人だな
まあいいか
それより　裏の森に急ごう！","0 [Ruca]","What a strange person... Well, whatever!
First of all, I should hurry to the forest.","TRUE"
"0001.dat","title","659","","なし","","None","FALSE"
"0001.dat","speaker","0","","ルカ","","Ruca","FALSE"
"0001.dat","line","0","0 [ルカ]","え～と　エディたちのいる裏の森は
南へ　まっすぐだな","0 [Ruca]","Uhh, pretty sure Eddie and the others
are at the forest south of here. ","TRUE"
"0001.dat","line","3","0 [ルカ]","早く行かないと
また　なにいわれるか　わかんないぞ","0 [Ruca]","I have to hurry or else they might
do something else to me again.","TRUE"
"0002.dat","title","660","","なし","","None","FALSE"
"0002.dat","speaker","0","","ルカ","","Ruca","FALSE"
"0002.dat","line","0","0 [ルカ]","異能者捕縛適応法…
異能者って　本当にいるんだな","0 [Ruca]","The Deviant Reformation Act... 
So Deviants do exist.","TRUE"
"0002.dat","line","4","0 [ルカ]","あ…　こうしちゃいられない
道具屋の前の屋台で
ホットドッグ　買わなきゃ！","0 [Ruca]","Oh, I shouldn’t waste time just standing around!
I have to buy some hotdogs at the stand in front
of the item shop!","TRUE"
"0003.dat","title","661","","なし","","None","FALSE"
