"File","#","Names","Japanese","English"
"Dn/00/01/700.dat","41","Eddie","おっせえぞ ガリ勉！
おまえのために 来てやったんだからな！","What took you so long, nerd?
After we came all this way for you."
"Dn/00/01/700.dat","46","Ruca","……{variable}うん ごめん","...Yeah, sorry."
"Dn/00/01/700.dat","52","Nino","いいか いつもみたいに
一緒じゃねーかんな
オレたちは助けねーぞ","This ain’t the same as usual, if something 
happens we won’t be able to come and 
save you, got it?"
"Dn/00/01/700.dat","57","Eddie","おまえひとりで
一番奥の木まで たどりつくこと
これが オレたちの儀式だ いいなルカ！","Here’s what you’re going to do. You’re going to
go into the forest all by yourself and meet us at
the innermost tree."
"Dn/00/01/700.dat","62","Ruca","……{variable}うん","Okay..."
"Dn/00/01/700.dat","67","Eddie","じゃあ オレたち 奥で待ってるからな！
絶対来いよ！","Right, then, we’ll go on ahead to the tree and
wait for you there. You better come!"
"Dn/00/02/401.dat","146","Illia","な なに？","Wh-What’s that!?"
"Dn/00/02/401.dat","149","Fountain Fairy","私はこの泉にすむ妖精…","I am the fairy that lives within this spring...
"
"Dn/00/02/401.dat","156","Ruca","い 泉の妖精？
あの噂話は本当だったんだ！","Th-The fairy of the spring?
That rumor was true!"
"Dn/00/02/401.dat","183","Fountain Fairy","あなたが落としたのは","Did you perhaps drop..."
"Dn/00/02/401.dat","187","Fountain Fairy","この金のコーダですか？","This Golden Coda?"
"Dn/00/02/401.dat","191","Fountain Fairy","それとも銀のコーダですか？","Or was it the Silver Coda?"
"Dn/00/02/401.dat","196","Ruca","えっと…
たしか正直に答えないと
返ってこないんだよね？","If I recall correctly...
if you fail to answer honestly you won’t be
able to get back what you dropped, right?"
"Dn/00/02/401.dat","201/0","","金のコーダ","Golden Coda"
"Dn/00/02/401.dat","201/1","","銀のコーダ","Silver Coda"
"Dn/00/02/401.dat","201/2","","普通のコーダ","A normal Coda"
"Dn/00/02/401.dat","204","Ruca","僕たちが落としたのは
金のコーダです！","We dropped the Golden Coda!"
"Dn/00/02/401.dat","211","Ruca","僕たちが落としたのは
銀のコーダです！","We dropped the Silver Coda!"
"Dn/00/02/401.dat","220","Illia","ちょっとなに言ってんのよルカ！","What the heck are you saying, Ruca?!"
"Dn/00/02/401.dat","224","Ruca","あ つい…","I was just..."
"Dn/00/02/401.dat","229","Illia","もうっ！
ここはあたしに任せときなさい","Sheesh! Just leave this to me.
"
"Dn/00/02/401.dat","232","Fountain Fairy","では もう一度聞きます","I’ll ask you again..."
"Dn/00/02/401.dat","235","Fountain Fairy","あなたが落としたのは
この金のコーダですか？
それとも銀のコーダですか？","Was it this Golden Coda that
you dropped? Or the Silver Coda?"
"Dn/00/02/401.dat","241","Illia","もちろん金と銀 両方のコーダよっ！！","Of course we dropped both
the Silver and Golden Codas!!"
"Dn/00/02/401.dat","246","Ruca","ええええぇぇぇぇ！！","HUUUUH!?"
"Dn/00/02/401.dat","253","Ruca","僕たちが落としたのは
普通のコ……","The Coda that we dropped is the no--"
"Dn/00/02/401.dat","262","Illia","もちろん金と銀 両方のコーダよっ！！","Of course we dropped both
the Silver and Golden Codas!!"
"Dn/00/02/401.dat","267","Ruca","ええええぇぇぇぇ！！","HUUUUH!?"
"Dn/00/02/401.dat","274","Fountain Fairy","………………………","..."
"Dn/00/02/401.dat","278","Fountain Fairy","あなたは自分の欲望に正直な方ですね
では正直なあなたにこの
金のコーダと銀のコーダを授けましょう","You have been honest in your greed.
I shall impart both statues for your honesty."
"Dn/00/02/401.dat","283","Illia","やったぁ！！","Yay!!"
"Dn/00/02/401.dat","288","Spada","マジでくれんのかよ…","Holy heck..."
"Dn/00/02/401.dat","334","Fountain Fairy","それでは またどこかでお会いしましょう…","Then, let us meet once again..."
"Dn/00/02/401.dat","339","Ruca","え！？ ちょっと待っ……","Huh!? Wait a sec--"
